|date|QID11_TEXT_translated|QID31_TEXT_translated|QID18_TEXT_translated|QID22_TEXT_translated
398|2024-01-17|"As a Ukrainian, I consider myself energetic, hardworking and responsible. I always have a positive attitude to work and a desire to achieve success. I highly value professionalism and always try to learn something new to improve my skills and abilities.

Since I work in hospitality and tourism, I feel comfortable interacting with people and helping them to be satisfied. I love to see smiles on guests' faces and to ensure their comfortable stay. It is important to me to provide a high level of service and perform my duties with great attention to detail. My favorite activities are working with guests, planning events, organizing tours and cooking workshops.

I am always open to new challenges and ready to learn and develop in order to become even more successful in my profession. For me, work is not just a means of earning, but also a path to self-realization, satisfaction and unforgettable experiences."|My work in the hotel business and tourism is a part-time job. At the hotel, I deal with guest service, receiving information, booking rooms, providing information about tourist attractions and hotel services. I also ensure interaction with other departments of the hotel to ensure a comfortable stay for guests. In general, my job requires good communication, organizational skills and care when serving guests.|Ukrainian|white-skinned
399|2024-01-17|"As a Ukrainian with the status ""Looking for a job"" in the field of marketing and sales, I describe myself as a purposeful and responsible person. I am always looking for improvement and am constantly learning about new trends in the field of marketing to constantly improve my skills.

My attitude to work can be characterized as persistent and responsible. I believe that one should do everything possible to achieve the set goal. I know how to work in a team and feel the urge to achieve success together with the team.

My favorite activities are planning and implementing marketing strategies, analyzing the market and competitors, developing marketing campaigns and interacting with consumers. I enjoy working with people and developing relationships with clients.

I understand that to be successful in the marketing industry, you need to be creative, active and ready for constant self-development. I always set new goals for myself and use every opportunity for growth and progress."|During the last years, I studied and worked in the field of marketing and sales. My responsibilities included development and implementation of marketing strategies, planning and implementation of advertising campaigns, analysis of competition, study of customer needs and development of product offers. I was also responsible for building and maintaining client relationships, conducting presentations and negotiations, and managing sales. It was very interesting to work in this field and the experience I gained gives me confidence in my skills and knowledge.|Ukraine|mulatto
400|2024-01-17|"As a young Ukrainian, I am engaged in marketing and sales as a self-employed person. I will describe my personality as a purposeful, energetic and creative individual. I always strive to achieve my goals and put maximum effort into my work.

I have a very responsible attitude to work. I see my profession as an opportunity not only to earn money, but also to develop, learn new things and realize my creative potential. I strive for constant self-improvement, actively study new marketing methods and techniques, follow trends in the field of sales.

My favorite activities are developing marketing strategies, creating advertising campaigns and planning sales. I like to create new ideas, work on their implementation and see the results of my work. I also like to communicate with people, build mutually beneficial relationships with clients and do my best to meet their needs.

In general, I am determined to succeed in my field of employment and am always ready to make every effort to achieve the set goals."|In my work, I deal with marketing and sales. My main responsibility is advertising and promoting products or services, as well as attracting new customers. I conduct market analysis, study consumer needs, develop a strategy for sales and advertising campaigns. In addition, I conduct negotiations with potential partners and clients and monitor the achievement of set goals. In my work, it is important to have high communication skills, be creative and pay attention to details.|Ukrainian|white-skinned
401|2024-01-17|"I am a young energetic person from Ukraine who works full-time in the field of marketing and sales. I believe that my approach to work is based on professionalism, responsibility and persistence.

I always try my best to achieve my goal and exceed expectations. I believe in the power of teamwork and am ready to collaborate with colleagues to achieve common goals. Dedication to work for me means being responsible, hardworking and ready to learn constantly.

As I work in marketing and sales, I like to be creative and innovative in my approaches. I feel in my element when I do market analysis, develop sales strategies and plan marketing campaigns. It is important for me to be aware of the latest trends and technologies in this field, and I spend time on constant self-improvement.

In addition to work, I also value personal development and engage in additional activities that contribute to my health and creativity. I like fitness, drawing and reading. They help me find inner harmony and save energy for my professional tasks.

In general, I set high goals for myself and strive for stable development in my career. My personality, attitude to work and favorite activities help me achieve success and be satisfied with what I do."|I work full time in marketing and sales. My work includes developing and implementing marketing strategies, conducting market analysis, promoting products and services, controlling sales and interacting with customers. My responsibilities also include planning and organizing promotions, cooperation with the media and partners, conducting market research and analyzing the competitive situation on the market.|Ukraine|Human
402|2024-01-17|"I, as a 22-year-old Ukrainian, am looking for a job in the hotel business and tourism. I will describe my personality: I am open to communication and sociable. I have a high level of organization and the ability to work in a team. European standards of service and quality are also important to me.

My attitude to work is very serious. I always put my responsibilities first and make every effort to achieve results. I have high motivation and perseverance, which allows me to acquire new knowledge and skills. I also know how to effectively manage my time and prioritize tasks to achieve success.

My favorite activities are related to hospitality and customer service. I enjoy interacting with people, helping them solve problems and making their stay enjoyable. I also appreciate the opportunity to learn new cultures and languages, which adds variety and interest to my work.

In this field of employment, I intend to develop and work to achieve stability and high quality of service. I believe I can be a valuable asset to any hotel or travel company and look forward to the opportunity to prove my skills and abilities."|In my previous job, I worked in the hotel business as a public relations assistant. My responsibilities included organizing and coordinating events for hotel guests, managing social networks, developing promotional materials and interacting with local partners. I also handled administrative tasks, including answering calls and sending mail. During this time I gained a lot of experience in the hospitality and tourism industries and improved my communication and organizational skills.|Ukrainian|Caucasians
403|2024-01-17|"I, as a Ukrainian, at the age of 21, work part-time in the field of marketing and sales. To describe my personality, I would say that I am goal-oriented, self-confident and responsible. I perform tasks with great enthusiasm and maximum efficiency.

I have a positive attitude towards work. I believe that the best achievements are achieved through hard work and constant self-improvement. I set high standards for myself and always strive to achieve greater results, constantly improving my skills and knowledge in the field of marketing and sales.

My favorite activities are solving various tasks related to marketing strategy and advertising campaigns. I love analyzing data, researching the market and finding new ways to promote a product or service. In addition, I enjoy working in a team, collaborating with colleagues and sharing ideas to achieve common goals.

In general, I am dedicated to my work, always ready to complete tasks and develop in the field of marketing and sales."|I work part-time in the marketing and sales industry. My responsibilities include development and implementation of marketing strategies, market and competitor analysis, preparation of presentations and advertising materials, organization and implementation of promotions and other events to attract customers. I am also involved in planning and coordinating the work of the sales team, maintaining relations with customers and maintaining their satisfaction with the product or service.|Ukrainian|white
404|2024-01-17|"I, as a Ukrainian, 19 years old, work full-time in the field of art. My personality can be described as creative, energetic and persistent. I always strive to achieve high results in my work and maintain a high level of motivation.

Attitude towards work is very important for me. I believe that work should be more than just a means of earning - it should be a source of satisfaction, development and self-expression. I strive to engage in such activities that allow me to realize my creative abilities and feel satisfied and grateful for my work.

My favorite activity is art. I am devoted to music, painting and creativity in general. I like to feel how an idea turns into reality through my hands and creative energy. Performing artistic exercises or designing new works, I feel in my element. This is not just a job for me, but a true passion and a way of self-expression.

I have many ideas and desire to improve my art. I am always open to learning new techniques and working methods, and I am ready to work in a team with other talented creators. My feeling from doing work in art is happiness and pride for my achievements.

In general, for me, my occupation of art is not just a job, but a way of life. I give it my energy, time and effort, but I get a lot of satisfaction, satisfaction and development in return. I am ready to continue to grow and develop in this wonderful field and put my best effort into it."|I work full time in the field of art. My work consists in the creative process of creating images, illustrations and art projects. I use a variety of techniques and materials including drawing, painting, graphics, design and sculpture. My responsibilities include finding inspiration, developing ideas, creating plans and bringing them to life through art. I interact with clients and colleagues, and improve my technical skills and creative approach.|Ukrainian|Caucasians
405|2024-01-17|"I, as a Ukrainian working in the field of information technology full-time, would like to describe my personality and attitude to work.

I am a purposeful, responsible and persistent person. I always have a great desire for knowledge and delving into new technologies. It is clear that this is especially important in information technology, as the industry is constantly evolving. I am always looking to improve my skills and expand my knowledge in this field.

Regarding my attitude to work, I believe that work is necessary not only to provide for material needs, but also to satisfy one's professional ambitions and achieve personal development. I always set myself high standards and strive to achieve the best results in my work. It is important to me that my projects are executed at a high level and meet the requirements of the industry.

My favorite activities are related to technology. I am interested in web development and programming because it gives me the opportunity to create and influence the digital world. I am also passionate about cyber security, because it is an important component of the field of information technologies. Performing tasks related to these areas, I feel satisfaction and challenge, which inspires me to continue professional development.

In teamwork, I strive to achieve common goals while holding high standards for myself and others. I believe that teamwork and knowledge sharing can lead to maximum efficiency and process improvement. The results of our cooperation are important to me, so I always try to work at a high level and contribute to the team.

In short, I am a purposeful and responsible Ukrainian working in the field of information technologies. I strive to improve my skills and knowledge while fulfilling my professional ambitions. My attitude to work is constant professional development and achievement of high standards. Favorite activities related to web development, programming and cyber security. In teamwork, I strive for common goals and try to contribute to the team."|I work as a programmer in a company specializing in software development. My responsibilities include writing code, testing programs, making changes and improving existing software products. I also analyze requirements, communicate with clients and participate in the planning and development process of projects.|Ukraine|Human
406|2024-01-17|I don't see the point|sales manager at inst|Ukrainian|European
1169|2024-03-07|Do beads|Announcements|Ukrainian|Ukrainian
1170|2024-03-07|I like to cook. Responsible, punctual, kind.|Cook, cooking|Ukrainian|White
1171|2024-03-07|Attentive, fastidious|Care for the disabled (elderly)|Ukrainian|European
1172|2024-03-07|Responsible and punctual. I love my work|Production of food products|Ukrainian|European
1173|2024-03-07|Workaholic. I love literature very much. Philologist.|I am retired|Russian|European
1174|2024-03-07|I like to learn and master something new. I am interested in growing flowers. My goal is to learn English perfectly.|Education of consumers of educational services. Formation of their relevant skills and abilities|Ukrainian|Slavs
1175|2024-03-07|I am an introverted person with a hot temper. I love work, because it brings money that provides me with the desired standard of living. I am responsible, active and proactive at work. In life, I like to read, do yoga and Pilates, and watch TV series. Sometimes a passion for cooking also awakens.|"I am an HR Data Analyst.
The main task is the automation of reporting and assistance with ad-hoc reports to senior management."|Ukrainian|European
1176|2024-03-07|Responsibility|Transportation|Ukrainian|Slavic
1177|2024-03-07|I like music, culture, I like to do what I like, so I work where I am appreciated or where I can be useful|Work in an online store, pricing, site content|Ukrainian|European
1178|2024-03-07|Introvert, rational type, strategic thinking, planner. Attitude to work - attention to detail and the possibility of independent planning of the activity regime. Hobbies - strategic games, puzzles, crosswords, sports competitions.|Site administration|Ukrainian|European
1179|2024-03-07|A young woman who wants to find herself, realize herself and be not only a mother, but a successful person.|Creation of a convention. Photos of things. Selling things through social networks. Packing and sending parcels.|Ukrainian|Caucasian
1180|2024-03-07|I love my work, my country.|Production automation specialist|Russian|European
1181|2024-03-07|I try to be active, ready to help, but not to those who use me. I like going to the theater, I take part in creating camouflage for the military|I work as a pediatrician, I deal with preventive examinations, vaccinations, examinations during illness, establishing a diagnosis and prescribing treatment|Ukrainian|European
1182|2024-03-07|Meaningless input|Capets|Ukrainian Russian|European
1183|2024-03-07|I am self-sufficient, responsible, erudite, always interested in self-development, have a sense of humor. I love music.|Design engineer, I create design documentation, in particular in Solidworks.|Ukrainian|European
1184|2024-03-07|I have a disability|Collection and analysis of production indicators|Russian|European
1185|2024-03-07|I like to create something myself.|Volunteer for work with IDPs. Provision of things and food products to people in need.|Ukrainian|European
1186|2024-03-07|Purposeful, cheerful, I love active recreation in nature and with my family. I love animals.|Merchandiser in a beer company.|Ukrainian|European
1187|2024-03-07|I am ambitious, proud, noble and cute. I like my job and worry that now most of it is absent. I like to draw, to paint, to play musical instruments, to read and to study smth new.|Lessons of English and Jewish. Translations.|Russian|Slavenic
1188|2024-03-07|Good, responsible|Caring for a sick person|Ukrainian|European
1189|2024-03-07|I like to try new things)|I am a student, but at the same time I work as a tutor|Ukrainian|European
1190|2024-03-07|Everything is my responsibility|Freelance|Ukrainian|European
1191|2024-03-07|I am a cheerful person, I love my work. I want to learn something new and use it in my future life.|I work as a sales manager, currently on maternity leave, a psychologist by education|Ukrainian|white
1192|2024-03-07|I am a very responsible and hardworking person, I like to work and I get pleasure from it?|I work online and I really like this job|Ukrainian|light
1193|2024-03-07|I love psychology. I like to work with people. I love self-development|Curator of courses for earning money on the Internet|Ukrainian|Light skin
1194|2024-03-07|I consider myself a kind and sincere person who has devoted her whole life to choral art. I like reading, listening to music, blogging. Creative, cheerful, I easily find contact with strangers|I am the leader and conductor of the Municipal Choir in the city of Kropyvnytskyi (I create and teach a concert program with the choir, present it at concerts and competitions), as well as a teacher of a music college (I teach students choral conducting and arranging)|Ukrainian|European
1195|2024-03-07|Responsibility, reading and studying details. Communicativeness and conveying information using accessible methods|Learning a foreign language. Freelance in IT and targeting|Ukrainian|Slavs
1196|2024-03-07|Chat with people|Not working|Ukrainian|Good
1197|2024-03-07|I am charismatic, I love my life, a leader in life.|I am studying medicine, so I am learning how to research and treat.|Ukrainian|European
1198|2024-03-07|"Cheerful.
Make sure everyone is working
Work with documents"|Communicate with clients, help solve problems with their banking products|Ukrainian|European
1199|2024-03-07|Creative person|Sale, advertising of goods.|Ukrainian|Christian
1200|2024-03-07|My name is Anastasiya. I was born in Ukraine and i have lived there all my time. I come from a small city. I’m a communicative person and i have a lot of friends.|Marketing and management|Ukrainian|Euronian
1201|2024-03-07|"A young, ambitious mother on maternity leave
I want to be financially independent"|Not working|Ukrainian|Christian woman
1202|2024-03-07|I don't want to write about it|I am looking for a job|Ukrainian|Christian woman
1203|2024-03-07|I really like to earn money|I help people with documents|Ukrainian|European
1204|2024-03-07|Now on maternity leave, the main thing that comes first is the development of children, I want to go to work and continue to look for myself|Babysitter in kindergarten, clean, feed, play with children, help the teacher|Ukrainian|European
1205|2024-03-07|I like to walk near the sea, hiking|Consulting people|Bulgarian|Caucasian
1206|2024-03-07|Lived in Kherson, moved with my family to Odesa. I work as a lifeguard, I love my wife and children|Sea rescuer-mechanic|Ukrainian|European
1207|2024-03-07|My hobby is reading books, cross-stitching|I am studying at a medical university|Ukrainian language|I treat myself well
1208|2024-03-07|I like to do everything qualitatively and to the end, I like to read and develop, I am constantly learning something new. I set myself goals and go to them|I work as a target specialist in the niche of beauty and online stores. I study the client's field of activity, analyze competitors, configure and launch advertising, monetize it|Ukrainian|European
1209|2024-03-07|I cheerfully, conscientiously and responsibly perform the work that I undertake.|I worked as a nurse in a children's institution, at the moment I work at home online|Ukrainian|Ukrainian woman
1210|2024-03-07|Hardworking. Inflammatory. Purposeful|I study medicine. To help people and treat them from diseases|Ukrainian|European
1211|2024-03-07|I understood that you need to choose yourself and do what you really like. I studied for 3 years for a profession that was not to my liking. But after that I realized that it was not mine. Now I earn money online and give others the opportunity to earn money.|Freelancer. Translation of sentences and creation of logos. Own project for earning money online.|Ukrainian|Euro
1212|2024-03-07|I'm Victoria, I have a son, I want to work and study, I really like to take various surveys|I am a freelancer working on tasks|Ukrainian|European
1213|2024-03-07|I like flowers and cooking.|"Teacher
Truck driver"|Ukrainian|Ukraine
1214|2024-03-07|Responsible, honest, prudent|Accounting work of various areas of the commercial enterprise, as well as personnel issues|Ukrainian|European
1215|2024-03-07|I am a kind person who likes to relax with friends, I have 2 dogs|I work online, text translation, copywriting, management|Ukrainian|light
1216|2024-03-07|I like to learn something new. My hobby is to cook new dishes. I also like to watch detective series and adore perfumes.|The work is related to maintaining the documentation of a medical institution. Answers to calls and messages. Preparation of documents.|Ukrainian|European
1217|2024-03-07|I like to work. I love sports.|Civil service personnel management specialist|Ukrainian|European
1218|2024-03-07|A person who loves specificity in any work|I am not working yet, but I am studying to be an economic geographer and plan to work in this field in the future|Ukrainian|European
1219|2024-03-07|I am the mother of a son, a beautiful son, I left maternity leave to work. I work with people and land. I like the work, it's interesting. I used to like dancing, but now I don't have time for it|Work with shares|Ukrainian|European
1220|2024-03-07|Sports, music, dance, psychology.|Selection and calculation of tours, organization of recreation. Booking airline tickets, hotels in Ukraine and abroad. Issuance of insurance policies.|Ukrainian|Slavic
1221|2024-03-07|I consider myself a versatile person who strives to constantly learn something new))|I work for myself performing simple tasks on the Internet.|Ukrainian|European
1222|2024-03-07|I am responsible for work|I study at the restaurant business faculty|Ukrainian|responsible
1223|2024-03-07|i love dancing and swimming|Currently studying law|Ukrainian|Prefer not to say
1224|2024-03-07|I love what I do|Administrator|Ukrainian|White
1225|2024-03-07|I am a bright person, I work well in a team, I like sports and cooking|Smm, site testing|Ukrainian|Europioid
1226|2024-03-07|I am very hardworking, I like to develop, I like to fulfill all my wishes, I like to earn money on the Internet, sometimes on websites.|Unemployed|Ukrainian|There is none
1227|2024-03-07|I like to take surveys like this.|I don't study|Ukrainian|Europe
1228|2024-03-07|I liked my previous job, it was atmospheric and calm. I like to read novels, they develop imagination and help to look at things differently.|Not working|Ukrainian|Ukrainian woman
1229|2024-03-07|I am a diligent student, I like to draw|A student majoring in art and design|Ukrainian|European
1230|2024-03-07|I am an open person, I like live communication with intellectually developed people. I am developing myself, I am still in search of myself)|I am studying, I am also studying English|Ukrainian|European
1231|2024-03-07|A person with a good heart|I do engraving on gifts|Ukrainian|Earopeoidal
1232|2024-03-07|Driver, I love my work, my family. I like to relax with friends. I like cars|Delivery of goods by car|Ukrainian|Christian
1233|2024-03-07|I am a responsible, purposeful and punctual person. I take my work and responsibilities seriously. I like active recreation, music, reading and diversity of everyday life.|Looking for a job|Ukrainian|European, Nordic
1234|2024-03-07|I live in Ukraine, I am 32 years old, I have two beautiful children|I work as a cook.|Ukrainian|Ukrainian
1235|2024-03-07|I am a housewife, I raise children, I like country chores|I am a housewife, I raise children|Ukrainian|Ukrainian
1236|2024-03-07|I study, I go to the gym, I like computer games|I study at a metallurgical technical school, I do homework|Ukrainian|European race
1237|2024-03-07|"I always take responsibility for any work, I always answer honestly and confidently,
I always try something new and interesting🫶🏼"|I have several jobs, I make handmade candles, I work in a women's clothing store, I sell clothes myself through the Internet, I am learning to work in the field of trading, I also perform various tasks on the Internet for which I receive money and conduct consultations for people on the same tasks|Ukrainian|I don't know, white 😅
1238|2024-03-07|I like science, chemistry and math, spending time in nature and I don't like to be in crowds. I like to read and draw well.|Auditor, audit of accounting on behalf of enterprises and banks|Ukrainian|European
1239|2024-03-07|I am a creative person who likes to make beauty out of something|I sell things|Ukrainian|Light skin
1240|2024-03-07|I am a pharmacist. Currently on maternity leave|In the decree|Ukrainian|Slovenian
1241|2024-03-07|I like to work|Manager Supply|Armenian|dark-skinned
1242|2024-03-07|Kind, generous, I quickly learn new things|I study in college|Ukrainian|European
1243|2024-03-07|I like music and photography. I also like medicine and plan to become a gynecologist|I am studying at a medical university|Ukrainian|Ukrainian woman
1244|2024-03-07|I am a very sociable, cheerful and interesting person, I want to work and develop in a job that I like.|I work in the field of sales, studied to be a cook, bartender, waiter|Ukrainian|European
1245|2024-03-07|Responsible|Education for preschoolers|Ukrainian|European
1246|2024-03-07|Sociable, quick to learn, responsible|"The head of the pharmacy
Consultation and dispensing of medicines, reporting"|Ukrainian|Light color
1247|2024-03-07|Responsible attitude to work, individual approach to each student. A rather shy person, but in stressful situations I act without panic and excitement. I love active recreation, but I don't have a lot of time for it|Choreographer, ballet master. Performance of dances for children and adults. Conducting group and individual choreography classes. Performances on stage as a show ballet|Ukrainian|Slavic
1248|2024-03-07|Introvert, quiet, calm person, likes to rest, listen to music|Methodist of the study room, civil defense|Ukrainian|European
1249|2024-03-07|I work as a freelancer, work for me is more about earning money than pleasure. I like to travel, play music|I work as an SMM manager|Ukrainian|Ukrainian woman
1250|2024-03-07|I like to communicate with people personally|Public service|Ukrainian|Slavic
1251|2024-03-07|I like to cook, read, communicate, travel|I do not work, I am on maternity leave|Ukrainian|Slavic
1252|2024-03-07|"I love concreteness in work, setting tasks for other people. Work is the most important thing for me, success comes before everything.
Responsible, fun."|Sales promotion specialist|Ukrainian|White
1253|2024-03-07|I like to work on the phone in any free time.|I love to work at the computer|Ukrainian|white
1254|2024-03-07|Honesty, openness, responsibility|Escort of military personnel and veterans|Ukrainian|European
1255|2024-03-07|I am a self-confident person, I know how to do many things, about that, I want something new, I love when surveys come ❤️|I am studying to be a psychologist by correspondence, I work as a nanny|Ukrainian|Light-skinned
1256|2024-03-07|Responsibility, I try to perform the assigned tasks well|Housewife|Ukrainian|European
1257|2024-03-07|Meaningless input|Meaningless input|Ukrainian|Meaningless input
1258|2024-03-07|I have 5 years of experience working online, I love to communicate with people, I understand sales and successful promotion of services, I like to create a visual concept of pages.|"Teacher of the school for distant professions
1. Maintaining a page on Instagram / tik tok
2. Processing of applications in direct
3. Launching targeted advertising
4. Visual design, copywriting"|Ukrainian|Slavic
1259|2024-03-07|Responsible, but trusting, pragmatic.|I am involved in the formation of the community budget, distribution of expenses, financing|Ukrainian|european
1260|2024-03-07|Communicative, able to work in a team and organize work, explain material concisely, teach new things. I like to work with documents, with archival records. I like gardening, I have many indoor plants. I like to cook for my loved one.|Working with documents, interacting with staff, working on a computer, including with e-mail, social networks and messengers.|Ukrainian|Slavs
1261|2024-03-07|I don't want to answer|I don't want to answer|Ukrainian|A Slav
1262|2024-03-07|I love music, cooking, traveling, I love cross-stitching and beading. I am interested in various novelties, I like to watch melodramas and comedies, try various exotic products and dishes.|Cleaning lady at work|Ukrainian|white
1263|2024-03-07|Discreet, but sociable, I love creative work, and I always have the inspiration to do something with my own hands|Beauty studio owner|Ukrainian|European
1264|2024-03-07|I like to communicate with people, make new acquaintances, help friends in difficult situations, I like to beautify...|Facial skin care procedures|Ukrainian|White race
1265|2024-03-07|Hardworking|Accounting|Ukrainian|European
1266|2024-03-07|I love chocolate, I am constantly losing weight and I am engaged in self-development.|I am a mother, I work around the house, I want to go to work.|Ukrainian|European
1267|2024-03-07|Strong-willed, executive, calm, capable. I like to work with people|Notification of conscripts, work with conscripts|Ukrainian|European
1268|2024-03-07|Versatile|Decree|Ukrainian|Ukrainian woman
1269|2024-03-07|I am a fast learner, so in 2 years I have built a good career, but there is still room to move. I am also sociable. I hate not doing anything, even sitting on maternity leave I create toys for children|Manager of a cosmetics and household chemicals store|Ukrainian|European
1270|2024-03-07|I am a mother on maternity leave. I currently earn money online. I like to take surveys|Sale of products|Ukrainian|white
1271|2024-03-07|Housewife|Decree|Ukrainian|Ukrainian
1272|2024-03-07|I am an open and creative person, I am very interested in different areas of life|Social work|Ukrainian|white
1273|2024-03-07|I am interested in contider business and am engaged in agriculture. I like to do something with the child|Housewife|Ukrainian|European
1274|2024-03-07|I like to be responsible, I adore any decorative and applied art|at the moment I'm on maternity leave, but now I've taken up machine embroidery at home|Ukrainian|European
1275|2024-03-07|I really like to work|inspection of finished products|Ukrainian|ukraine
1276|2024-03-07|I am a mother on maternity leave, a teacher by profession. I'm running an Instagram page now|Primary school teacher, I teach children up to 10 years old|Ukrainian|Light skin
1277|2024-03-07|I work 5/2, I plan to do sports, I like to cook and read, I like to drive|I work as a cashier|Ukrainian|white
1278|2024-03-07|I love listening to music, watching movies. Hobbies are needlework, I generally like handmade. Nature outings.|Education Computer science. Working with documents and entering contracts|Ukrainian|European
1279|2024-03-07|I like to read, travel|medical field,|Ukrainian|European
1280|2024-03-07|I am a calm and balanced person. I like to work and get pleasure from it|Private entrepreneur|Ukrainian|White
1281|2024-03-07|I am very kind and love to help people|excellent training in law school|Ukrainian|Ukrainian woman
1282|2024-03-07|"I love nature, travel, art
I like to communicate with people, children"|Teacher of chemistry and biology|Ukrainian|European
1283|2024-03-07|My hobbies are cooking and drawing.|Public Service|Ukrainian|European
1284|2024-03-07|N|I don't study and I don't work|Ukrainian|European
1285|2024-03-07|I like to work, attentive, purposeful, punctual, kind|I work as a cashier in a store, the store deals in bicycles|Ukrainian|European
1286|2024-03-07|I am a mother of two adorable girls. In this difficult time, we did not run away from the country, but live in Odessa. My husband and I work. Children go to school. I love my native land. I like to give gifts to my relatives. I like Turkish and Ukrainian series. We have a cat and an aquarium with fish. I really like Silpo pastries.|I work as an accountant in a construction company|Ukrainian, Moldavian, Gagauz|Slavic
1287|2024-03-07|Responsible, honest, demanding of herself and others at work. Likes cooking and baking as a hobby. I am interested in self-development, psychology and raising children|Compliance with legislative requirements for state registration of acts of civil status|Ukrainian|European
1288|2024-03-07|A very good specialist and very modest))|I am looking for a job as an economist|Ukrainian|European
1289|2024-03-07|Kind, polite, educated. I am fond of confectionery and gardening.|Not working|Ukrainian|European
1290|2024-03-07|On maternity leave, I like books and knitting|Decree|Ukrainian|European
1291|2024-03-07|I did not understand the question due to an incorrect translation|"15 working days a month from 10 a.m. to 8 p.m
Sale of goods. Placing orders, receiving goods. Cleaning."|Ukrainian|You have to love yourself
1292|2024-03-07|Responsible, very serious, I love justice, I love hard-working, experienced, goal-oriented people, from whom you can draw enthusiasm to act|Training and selection of personnel, personnel management, ensuring a smooth trading process|Ukrainian|European
1293|2024-03-07|I am a workaholic, I love my family and children very much. I dream that the war in our Ukraine will end 🙏🙏🙏 So that everyone is alive and healthy 🙏🙏🙏🙏|I am currently on statutory leave, working as a pharmacist.|Ukrainian|European
1294|2024-03-07|I want to earn money on the Internet|I work as a barista, my duties include making coffee for people and serving them|Ukrainian|light-skinned
1295|2024-03-07|Interesting 🤔|I work three times a week. For several hours. And all other time is free|Ukrainian|Harnyunya
1296|2024-03-07|I am a mother on maternity leave, I am engaged in sales|Selling|Ukrainian|Ukrainian
1297|2024-03-07|I like to read, watch dramas, and knit as a hobby|Calculation of rent, VAT|Ukrainian|European
1298|2024-03-07|I like to buy new things, try different things.|I work in the field of medicine|Ukrainian|European
1299|2024-03-07|I am a very creative and well-read person. I always treat work with all respect. I like to draw and read|I work with children and it is always hard work|Ukrainian|European
1300|2024-03-07|A young and energetic girl. I take responsibility for my work, I like to finish everything. I like sports, recreation in nature.|A young and energetic girl. I take responsibility for my work, I like to finish everything. I like sports, recreation in nature.|Ukrainian|White
1301|2024-03-07|walks with the dog calm me down, I paint, I'm looking for a new way for myself, I like to clean and I don't like to cook|not working|Russian|European
1302|2024-03-07|I like to work|New post office, cashier|Ukrainian|Europe
1303|2024-03-07|I believe that work should bring pleasure|Not working|Ukrainian|European
1304|2024-03-07|I love cycling, growing flowers, swimming in summer, nature, healthy eating|Client Consulting|Ukrainian|I don't want to answer
1305|2024-03-07|Hardworking, responsible, honest|Seller|Ukrainian|Ukrainian woman
1306|2024-03-07|On maternity leave, I like to look for hobbies|I am currently on maternity leave, but I have a signed contract with the border guard, I am on duty|Ukrainian|Caucasian race
1307|2024-03-07|I'm shy, I've never worked anywhere because I have a disability, so I grab onto these platforms. Money is needed|I don't work and I don't study|Ukrainian|What it is?
1308|2024-03-07|I am a beginner entrepreneur. In the past, a scientist. Now we are trying to grow decorative plants for landscape design. We sell to garden centers and nurseries.|A beginner entrepreneur. We grow decorative plants for landscape design. We sell to garden centers and nurseries.|Ukrainian|European
1309|2024-03-07|I like sports and books, I do cryptography|I work as an electromechanic on ships. I work literally all over the ship and with all the devices|Ukrainian|Europivorous race
1310|2024-03-07|I'm inquisitive|Trade|Ukrainian|White
1311|2024-03-07|I am a calm, friendly person, I have a family and a dream of additional income, since the basic salary is not enough. I love flowers, nature, beer, wine, good company and peace|Director of the utility company|Ukrainian|European
1312|2024-03-07|I have a positive attitude towards work|Related to the kitchen|Ukrainian|Light skin
1313|2024-03-07|Purposeful, stress-resistant, smart|Meaningless input|Ukrainian|European
1314|2024-03-07|I like reading books, cross-stitching and beading. Interested in topics from psychology. I like to work with numbers|Accountant, working with numbers|Ukrainian|European
1315|2024-03-07|I am a very responsible and honest person, I love creativity|Sales planning, analysis of plan implementation|Ukrainian|European
1316|2024-03-07|Responsible, punctual|Creation of Instagram pages|Ukrainian|European
1317|2024-03-07|I like to sing, watch new movies, always responsible and communicative|I work as a computer seller|Ukrainian|European
1318|2024-03-07|I like to be creative. Draw, photograph, process photos. Come up with product design. I like to travel, visit interesting places.|Freelance designer, retoucher.|Ukrainian|European
1319|2024-03-07|I am a purposeful person who is ready to learn and learn new information|I write, take care of children|Ukrainian|European
1320|2024-03-07|I love my job, I do it conscientiously. I love to cook.|Nursing care|Ukratgsky|Belly
1321|2024-03-07|Mom is on maternity leave, previously worked in the financial sector. I love animals, nature. I am fond of knitting|Mom is on maternity leave|Ukrainian|Ukrainian woman
1322|2024-03-07|The right woman. I like to draw, knit, learn something new.|I study various social services.|Ukrainian|White
1323|2024-03-07|I like to learn new directions. I have worked online for 11 years since 2015, I am an entrepreneur, thanks to my taxes I help Ukraine and my family. I am purposeful, creative and have leadership qualities. Motivator and able to work with a large number of people, delegate them.|I teach people the basics of running social networks and how to make money from it|Ukrainian|White
1324|2024-03-07|I'm a Virgo and that says it all. Hardworking, purposeful, punctual. I like everything to be in its place. I prefer family and friends to noisy companies.|I do not work, a housewife|Ukrainian|European
1325|2024-03-07|At the moment, I am on maternity leave, but I am learning to knit with different types of yarn and different products at the same time|Mom is on maternity leave|Ukrainian|European
1326|2024-03-07|I like to study and learn something new. I take my work seriously, correct execution and results are always a priority|Chemistry teacher from 5th to 11th grades|Ukrainian|European
